"Activity Date","Process Date","Settle Date","Instrument","Description","Trans Code","Quantity","Price","Amount"
"2/6/2026","2/6/2026","2/9/2026","MSFT","MSFT 3/13/2026 Call $420.00","BTO","1","$5.80","($580.04)"
"2/6/2026","2/6/2026","2/9/2026","QQQ","QQQ 2/6/2026 Put $608.00","STC","1","$0.97","$96.95"
"2/6/2026","2/6/2026","2/9/2026","QQQ","QQQ 2/6/2026 Put $608.00","STC","2","$1.01","$201.91"
"2/6/2026","2/6/2026","2/9/2026","QQQ","QQQ 2/6/2026 Put $608.00","BTO","3","$0.85","($255.12)"
"2/6/2026","2/6/2026","2/9/2026","SPY","SPY 2/9/2026 Put $688.00","STC","1","$2.40","$239.95"
"2/6/2026","2/6/2026","2/9/2026","SPY","SPY 2/9/2026 Put $688.00","BTO","1","$2.73","($273.04)"
"2/6/2026","2/6/2026","2/9/2026","SPY","SPY 2/6/2026 Put $686.00","STC","3","$0.54","$161.87"
"2/6/2026","2/6/2026","2/9/2026","SPY","SPY 2/6/2026 Put $686.00","BTO","2","$0.60","($120.08)"
"2/6/2026","2/6/2026","2/9/2026","SPY","SPY 2/6/2026 Put $686.00","STC","1","$0.67","$66.95"
"2/6/2026","2/6/2026","2/9/2026","SPY","SPY 2/6/2026 Put $686.00","BTO","2","$0.77","($154.08)"
"2/6/2026","2/6/2026","2/9/2026","SPY","SPY 2/6/2026 Put $686.00","STC","1","$0.71","$70.95"
"2/6/2026","2/6/2026","2/9/2026","SPY","SPY 2/6/2026 Put $686.00","STC","2","$0.83","$165.91"
"2/6/2026","2/6/2026","2/9/2026","SPY","SPY 2/6/2026 Put $686.00","STC","1","$0.88","$87.95"
"2/6/2026","2/6/2026","2/9/2026","SPY","SPY 2/6/2026 Put $686.00","BTO","3","$0.66","($198.12)"
"2/6/2026","2/6/2026","2/9/2026","SPY","SPY 2/6/2026 Put $686.00","BTO","1","$1.09","($109.04)"
"2/6/2026","2/6/2026","2/9/2026","SPY","SPY 2/6/2026 Put $682.00","STC","1","$0.67","$66.95"
"2/6/2026","2/6/2026","2/9/2026","SPY","SPY 2/6/2026 Put $682.00","STC","1","$1.07","$106.95"
"2/6/2026","2/6/2026","2/9/2026","SPY","SPY 2/6/2026 Put $682.00","BTO","2","$0.91","($182.08)"
"2/6/2026","2/6/2026","2/9/2026","SPY","SPY 2/6/2026 Put $684.00","STC","1","$1.44","$143.95"
"2/6/2026","2/6/2026","2/9/2026","SPY","SPY 2/6/2026 Put $684.00","BTO","1","$1.09","($109.04)"
"2/6/2026","2/6/2026","2/9/2026","SPY","SPY 2/6/2026 Call $684.00","STC","1","$3.28","$327.95"
"2/6/2026","2/6/2026","2/9/2026","SPY","SPY 2/6/2026 Call $684.00","STC","1","$2.96","$295.95"
"2/6/2026","2/6/2026","2/9/2026","SPY","SPY 2/6/2026 Call $684.00","BTO","1","$3.07","($307.04)"
"2/6/2026","2/6/2026","2/9/2026","SPY","SPY 2/6/2026 Call $684.00","BTO","1","$3.07","($307.04)"
"2/6/2026","2/6/2026","2/9/2026","SPY","SPY 2/6/2026 Call $686.00","STC","1","$1.29","$128.95"
"2/6/2026","2/6/2026","2/9/2026","SPY","SPY 2/6/2026 Call $686.00","STC","1","$1.44","$143.95"
"2/6/2026","2/6/2026","2/9/2026","SPY","SPY 2/6/2026 Call $686.00","BTO","2","$1.65","($330.08)"
"2/6/2026","2/6/2026","2/9/2026","SPY","SPY 2/6/2026 Put $685.00","STC","1","$3.00","$299.95"
"2/6/2026","2/6/2026","2/9/2026","SPY","SPY 2/6/2026 Put $685.00","BTO","1","$2.34","($234.04)"
"2/6/2026","2/6/2026","2/9/2026","SPY","SPY 2/6/2026 Put $685.00","STC","1","$2.34","$233.95"
"2/6/2026","2/6/2026","2/9/2026","SPY","SPY 2/6/2026 Put $685.00","STC","1","$2.10","$209.95"
"2/6/2026","2/6/2026","2/9/2026","SPY","SPY 2/6/2026 Put $685.00","BTO","2","$1.82","($364.08)"
"2/6/2026","2/6/2026","2/9/2026","HIMS","HIMS 1/21/2028 Call $35.00","BTO","1","$8.15","($815.04)"
"2/6/2026","2/6/2026","2/9/2026","SPY","SPY 2/6/2026 Call $685.00","STC","1","$2.57","$256.95"
"2/6/2026","2/6/2026","2/9/2026","SPY","SPY 2/6/2026 Call $685.00","STC","1","$2.60","$259.95"
"2/6/2026","2/6/2026","2/9/2026","SPY","SPY 2/6/2026 Call $685.00","BTO","1","$2.15","($215.04)"
"2/6/2026","2/6/2026","2/9/2026","SPY","SPY 2/6/2026 Call $685.00","BTO","1","$2.16","($216.04)"
"2/5/2026","2/5/2026","2/6/2026","ZM","ZM 2/20/2026 Call $96.00","STC","2","$0.95","$189.91"
"2/5/2026","2/5/2026","2/6/2026","","ACH Deposit","ACH","","","$1,500.00"
"2/5/2026","2/5/2026","2/6/2026","SPY","SPY 2/6/2026 Put $680.00","STC","1","$3.48","$347.95"
"2/5/2026","2/5/2026","2/6/2026","SPY","SPY 2/6/2026 Put $680.00","STC","1","$3.29","$328.95"
"2/5/2026","2/5/2026","2/6/2026","SPY","SPY 2/6/2026 Put $680.00","BTO","2","$3.09","($618.08)"
"2/5/2026","2/5/2026","2/6/2026","SPY","SPY 2/6/2026 Put $680.00","STC","2","$3.25","$649.91"
"2/5/2026","2/5/2026","2/6/2026","SPY","SPY 2/6/2026 Put $680.00","BTO","1","$4.18","($418.04)"
"2/5/2026","2/5/2026","2/6/2026","SPY","SPY 2/6/2026 Put $680.00","BTO","1","$4.18","($418.04)"
"2/5/2026","2/5/2026","2/6/2026","SPY","SPY 2/6/2026 Put $680.00","STC","1","$3.86","$385.95"
"2/5/2026","2/5/2026","2/6/2026","SPY","SPY 2/6/2026 Put $680.00","STC","1","$4.08","$407.95"
"2/5/2026","2/5/2026","2/6/2026","SPY","SPY 2/6/2026 Put $680.00","BTO","2","$4.37","($874.08)"
"2/5/2026","2/5/2026","2/6/2026","SPY","SPY 2/6/2026 Put $680.00","STC","2","$4.11","$821.91"
"2/5/2026","2/5/2026","2/6/2026","SPY","SPY 2/6/2026 Put $680.00","BTO","1","$3.85","($385.04)"
"2/5/2026","2/5/2026","2/6/2026","SPY","SPY 2/6/2026 Put $680.00","BTO","1","$3.70","($370.04)"
"2/5/2026","2/5/2026","2/6/2026","SPY","SPY 2/6/2026 Put $680.00","STC","1","$6.03","$602.95"
"2/5/2026","2/5/2026","2/6/2026","SPY","SPY 2/6/2026 Put $680.00","BTO","1","$6.41","($641.04)"
"2/5/2026","2/5/2026","2/6/2026","RBLX","RBLX 2/20/2026 Call $90.00","STC","2","$0.44","$87.91"
"2/5/2026","2/5/2026","2/6/2026","SPY","SPY 2/6/2026 Put $680.00","STC","1","$6.16","$615.95"
"2/5/2026","2/5/2026","2/6/2026","SPY","SPY 2/6/2026 Put $680.00","STC","1","$6.80","$679.95"
"2/5/2026","2/5/2026","2/6/2026","SPY","SPY 2/6/2026 Put $680.00","BTO","1","$6.68","($668.04)"
"2/5/2026","2/5/2026","2/6/2026","SPY","SPY 2/6/2026 Put $680.00","BTO","1","$5.97","($597.04)"
"2/5/2026","2/5/2026","2/6/2026","SPY","SPY 2/6/2026 Put $680.00","STC","1","$4.82","$481.95"
"2/5/2026","2/5/2026","2/6/2026","SPY","SPY 2/6/2026 Put $680.00","STC","1","$4.38","$437.95"
"2/5/2026","2/5/2026","2/6/2026","RBLX","RBLX 2/20/2026 Call $90.00","BTO","1","$0.57","($57.04)"
"2/5/2026","2/5/2026","2/6/2026","RBLX","RBLX 2/20/2026 Call $90.00","BTO","1","$0.57","($57.04)"
"2/5/2026","2/5/2026","2/6/2026","SPY","SPY 2/6/2026 Put $680.00","BTO","1","$3.40","($340.04)"
"2/5/2026","2/5/2026","2/6/2026","ZM","ZM 2/20/2026 Call $96.00","BTO","2","$1.92","($384.08)"
"2/5/2026","2/5/2026","2/6/2026","SPY","SPY 2/6/2026 Put $680.00","BTO","1","$3.59","($359.04)"
"2/4/2026","2/4/2026","2/5/2026","SPY","SPY 2/5/2026 Put $683.00","STC","1","$2.15","$214.95"
"2/4/2026","2/4/2026","2/5/2026","SPY","SPY 2/5/2026 Put $683.00","STC","1","$1.96","$195.95"
"2/4/2026","2/4/2026","2/5/2026","SPY","SPY 2/5/2026 Put $683.00","BTO","2","$1.69","($338.08)"
"2/4/2026","2/4/2026","2/5/2026","SPY","SPY 2/4/2026 Put $680.00","STC","1","$0.36","$35.95"
"2/4/2026","2/4/2026","2/5/2026","SPY","SPY 2/4/2026 Put $680.00","STC","1","$1.21","$120.95"
"2/4/2026","2/4/2026","2/5/2026","SPY","SPY 2/4/2026 Put $680.00","STC","1","$1.11","$110.95"
"2/4/2026","2/4/2026","2/5/2026","SPY","SPY 2/4/2026 Put $680.00","BTO","3","$0.93","($279.12)"
"2/4/2026","2/4/2026","2/5/2026","SPY","SPY 2/4/2026 Put $684.00","STC","1","$2.40","$239.95"
"2/4/2026","2/4/2026","2/5/2026","SPY","SPY 2/4/2026 Put $684.00","STC","2","$2.16","$431.91"
"2/4/2026","2/4/2026","2/5/2026","SPY","SPY 2/4/2026 Put $684.00","BTO","1","$1.28","($128.04)"
"2/4/2026","2/4/2026","2/5/2026","SPY","SPY 2/4/2026 Put $684.00","BTO","2","$1.28","($256.08)"
"2/4/2026","2/4/2026","2/5/2026","SPY","SPY 2/6/2026 Put $688.00","STC","1","$5.33","$532.95"
"2/4/2026","2/4/2026","2/5/2026","SPY","SPY 2/6/2026 Put $688.00","STC","1","$5.33","$532.95"
"2/4/2026","2/4/2026","2/5/2026","SPY","SPY 2/6/2026 Put $688.00","BTO","1","$5.16","($516.04)"
"2/4/2026","2/4/2026","2/5/2026","SPY","SPY 2/6/2026 Put $688.00","BTO","1","$5.08","($508.04)"
"2/4/2026","2/4/2026","2/5/2026","SPY","SPY 2/6/2026 Put $690.00","STC","1","$5.57","$556.95"
"2/4/2026","2/4/2026","2/5/2026","SPY","SPY 2/6/2026 Put $690.00","BTO","1","$5.33","($533.04)"
"2/4/2026","2/4/2026","2/5/2026","SPY","SPY 2/6/2026 Put $689.00","STC","1","$4.89","$488.95"
"2/4/2026","2/4/2026","2/5/2026","SPY","SPY 2/6/2026 Put $689.00","BTO","1","$5.75","($575.04)"
"2/4/2026","2/4/2026","2/5/2026","SPY","SPY 2/6/2026 Put $690.00","STC","1","$6.06","$605.95"
"2/4/2026","2/4/2026","2/5/2026","SPY","SPY 2/6/2026 Put $690.00","BTO","1","$5.17","($517.04)"
"2/4/2026","2/4/2026","2/5/2026","SPY","SPY 2/6/2026 Put $690.00","STC","1","$6.06","$605.95"
"2/4/2026","2/4/2026","2/5/2026","SPY","SPY 2/6/2026 Put $690.00","STC","1","$5.50","$549.95"
"2/4/2026","2/4/2026","2/5/2026","SPY","SPY 2/6/2026 Put $690.00","BTO","1","$4.98","($498.04)"
"2/4/2026","2/4/2026","2/5/2026","SPY","SPY 2/6/2026 Put $690.00","BTO","1","$4.51","($451.04)"
"2/4/2026","2/4/2026","2/5/2026","SPY","SPY 2/6/2026 Put $690.00","STC","1","$4.79","$478.95"
"2/4/2026","2/4/2026","2/5/2026","SPY","SPY 2/6/2026 Put $690.00","STC","1","$5.48","$547.95"
"2/4/2026","2/4/2026","2/5/2026","SPY","SPY 2/6/2026 Put $690.00","BTO","2","$4.76","($952.08)"
"2/4/2026","2/4/2026","2/5/2026","SPY","SPY 2/4/2026 Call $692.00","STC","1","$0.92","$91.95"
"2/4/2026","2/4/2026","2/5/2026","SPY","SPY 2/4/2026 Call $692.00","STC","1","$0.87","$86.95"
"2/4/2026","2/4/2026","2/5/2026","SPY","SPY 2/4/2026 Call $692.00","STC","1","$0.82","$81.95"
"2/4/2026","2/4/2026","2/5/2026","SPY","SPY 2/4/2026 Call $692.00","BTO","3","$0.69","($207.12)"
"2/3/2026","2/3/2026","2/4/2026","SPY","SPY 2/3/2026 Put $687.00","STC","5","$1.15","$574.78"
"2/3/2026","2/3/2026","2/4/2026","SPY","SPY 2/3/2026 Put $687.00","STC","5","$1.07","$534.78"
"2/3/2026","2/3/2026","2/4/2026","SPY","SPY 2/3/2026 Put $687.00","BTO","10","$1.10","($1,100.40)"
"2/3/2026","2/3/2026","2/4/2026","SPY","SPY 2/3/2026 Put $687.00","STC","5","$0.98","$489.78"
"2/3/2026","2/3/2026","2/4/2026","SPY","SPY 2/3/2026 Put $687.00","BTO","5","$1.05","($525.20)"
"2/3/2026","2/3/2026","2/4/2026","SPY","SPY 2/3/2026 Put $687.00","STC","5","$1.02","$509.78"
"2/3/2026","2/3/2026","2/4/2026","SPY","SPY 2/3/2026 Put $687.00","BTO","5","$1.16","($580.20)"
"2/3/2026","2/3/2026","2/4/2026","SPY","SPY 2/3/2026 Call $690.00","STC","3","$0.58","$173.87"
"2/3/2026","2/3/2026","2/4/2026","SPY","SPY 2/3/2026 Call $690.00","BTO","3","$0.68","($204.12)"
"2/3/2026","2/3/2026","2/4/2026","SPY","SPY 2/3/2026 Put $687.00","STC","1","$1.31","$130.95"
"2/3/2026","2/3/2026","2/4/2026","SPY","SPY 2/3/2026 Put $687.00","STC","1","$1.31","$130.95"
"2/3/2026","2/3/2026","2/4/2026","SPY","SPY 2/3/2026 Put $687.00","STC","3","$1.27","$380.87"
"2/3/2026","2/3/2026","2/4/2026","SPY","SPY 2/3/2026 Put $687.00","BTO","1","$1.13","($113.04)"
"2/3/2026","2/3/2026","2/4/2026","SPY","SPY 2/3/2026 Put $687.00","BTO","4","$1.13","($452.16)"
"2/3/2026","2/3/2026","2/4/2026","SPY","SPY 2/3/2026 Put $688.00","STC","2","$1.24","$247.91"
"2/3/2026","2/3/2026","2/4/2026","SPY","SPY 2/3/2026 Put $688.00","STC","1","$1.31","$130.95"
"2/3/2026","2/3/2026","2/4/2026","SPY","SPY 2/3/2026 Put $688.00","STC","1","$1.31","$130.95"
"2/3/2026","2/3/2026","2/4/2026","SPY","SPY 2/3/2026 Put $688.00","BTO","4","$1.12","($448.16)"
"2/2/2026","2/2/2026","2/3/2026","SPY","SPY 2/2/2026 Put $690.00","STC","29","$0.01","$27.74"
"2/2/2026","2/2/2026","2/3/2026","SPY","SPY 2/2/2026 Put $690.00","BTO","10","$0.03","($30.40)"
"2/2/2026","2/2/2026","2/3/2026","PYPL","PYPL 1/21/2028 Call $60.00","STC","2","$10.55","$2,109.91"
"2/2/2026","2/2/2026","2/3/2026","GME","GME 2/6/2026 Call $28.00","STC","5","$0.25","$124.78"
"2/2/2026","2/2/2026","2/3/2026","SPY","SPY 2/2/2026 Put $690.00","BTO","5","$0.13","($65.20)"
"2/2/2026","2/2/2026","2/3/2026","SPY","SPY 2/2/2026 Put $690.00","BTO","1","$0.27","($27.04)"
"2/2/2026","2/2/2026","2/3/2026","SPY","SPY 2/2/2026 Put $690.00","BTO","3","$0.20","($60.12)"
"2/2/2026","2/2/2026","2/3/2026","SPY","SPY 2/2/2026 Put $690.00","BTO","5","$0.27","($135.20)"
"2/2/2026","2/2/2026","2/3/2026","SPY","SPY 2/2/2026 Put $690.00","BTO","3","$0.58","($174.12)"
"2/2/2026","2/2/2026","2/3/2026","GME","GME 2/6/2026 Call $28.00","BTO","1","$0.31","($31.04)"
"2/2/2026","2/2/2026","2/3/2026","GME","GME 2/6/2026 Call $28.00","BTO","4","$0.31","($124.16)"
"2/2/2026","2/2/2026","2/3/2026","SPY","SPY 2/2/2026 Put $690.00","BTO","1","$0.99","($99.04)"
"2/2/2026","2/2/2026","2/3/2026","SPY","SPY 2/2/2026 Put $690.00","BTO","1","$0.99","($99.04)"
"1/30/2026","1/30/2026","2/2/2026","SOFI","Option Expiration for SOFI 1/30/2026 Call $26.00","OEXP","10S","",""
"1/30/2026","1/30/2026","2/2/2026","GME","Option Expiration for GME 1/30/2026 Call $25.00","OEXP","1S","",""
"1/30/2026","1/30/2026","1/30/2026","","Interest Payment","INT","","","$18.37"
"1/30/2026","1/30/2026","2/2/2026","SPY","SPY 1/30/2026 Put $692.00","STC","1","$1.93","$192.95"
"1/30/2026","1/30/2026","2/2/2026","SPY","SPY 1/30/2026 Put $692.00","BTO","1","$1.59","($159.04)"
"1/30/2026","1/30/2026","2/2/2026","SPY","SPY 1/30/2026 Put $691.00","STC","1","$2.42","$241.95"
"1/30/2026","1/30/2026","2/2/2026","SPY","SPY 1/30/2026 Put $691.00","STC","1","$1.67","$166.95"
"1/30/2026","1/30/2026","2/2/2026","SPY","SPY 1/30/2026 Put $691.00","BTO","1","$1.40","($140.04)"
"1/30/2026","1/30/2026","2/2/2026","SPY","SPY 1/30/2026 Put $691.00","BTO","1","$1.40","($140.04)"
"1/30/2026","1/30/2026","2/2/2026","SPY","SPY 1/30/2026 Put $691.00","STC","1","$1.33","$132.95"
"1/30/2026","1/30/2026","2/2/2026","SPY","SPY 1/30/2026 Put $691.00","STC","1","$1.29","$128.95"
"1/30/2026","1/30/2026","2/2/2026","SPY","SPY 1/30/2026 Put $691.00","STC","1","$1.33","$132.95"
"1/30/2026","1/30/2026","2/2/2026","SPY","SPY 1/30/2026 Put $691.00","STC","1","$1.21","$120.95"
"1/30/2026","1/30/2026","2/2/2026","SPY","SPY 1/30/2026 Put $691.00","BTO","2","$0.96","($192.08)"
"1/30/2026","1/30/2026","2/2/2026","SPY","SPY 1/30/2026 Put $691.00","BTO","1","$1.13","($113.04)"
"1/30/2026","1/30/2026","2/2/2026","SPY","SPY 1/30/2026 Put $691.00","BTO","1","$1.25","($125.04)"
"1/30/2026","1/30/2026","2/2/2026","SPY","SPY 1/30/2026 Put $692.00","STC","1","$1.49","$148.95"
"1/30/2026","1/30/2026","2/2/2026","SPY","SPY 1/30/2026 Put $692.00","STC","1","$1.29","$128.95"
"1/30/2026","1/30/2026","2/2/2026","SPY","SPY 1/30/2026 Put $692.00","STC","1","$1.38","$137.95"
"1/30/2026","1/30/2026","2/2/2026","SPY","SPY 1/30/2026 Put $692.00","STC","3","$1.45","$434.87"
"1/30/2026","1/30/2026","2/2/2026","SPY","SPY 1/30/2026 Put $692.00","BTO","3","$0.98","($294.12)"
"1/30/2026","1/30/2026","2/2/2026","SPY","SPY 1/30/2026 Put $692.00","BTO","3","$1.55","($465.12)"
"1/30/2026","1/30/2026","2/2/2026","SPY","SPY 1/30/2026 Put $692.00","STC","1","$2.02","$201.95"
"1/30/2026","1/30/2026","2/2/2026","SPY","SPY 1/30/2026 Put $692.00","STC","1","$1.88","$187.95"
"1/30/2026","1/30/2026","2/2/2026","SPY","SPY 1/30/2026 Put $692.00","BTO","1","$1.36","($136.04)"
"1/30/2026","1/30/2026","2/2/2026","SPY","SPY 1/30/2026 Put $692.00","STC","1","$2.00","$199.95"
"1/30/2026","1/30/2026","2/2/2026","SPY","SPY 1/30/2026 Put $692.00","STC","4","$1.82","$727.83"
"1/30/2026","1/30/2026","2/2/2026","SPY","SPY 1/30/2026 Put $692.00","BTO","5","$1.51","($755.20)"
"1/30/2026","1/30/2026","2/2/2026","SPY","SPY 1/30/2026 Put $692.00","BTO","1","$1.62","($162.04)"
"1/30/2026","1/30/2026","2/2/2026","SOFI","SOFI 1/30/2026 Call $26.00","BTO","5","$0.07","($35.20)"
"1/30/2026","1/30/2026","2/2/2026","SOFI","SOFI 1/30/2026 Call $26.00","BTO","5","$0.17","($85.20)"
"1/29/2026","1/29/2026","1/30/2026","PYPL","PYPL 1/21/2028 Call $60.00","BTO","2","$10.30","($2,060.08)"
"1/29/2026","1/29/2026","1/30/2026","SPXW","SPXW 1/29/2026 Call $6,950.00","STC","2","$3.60","$718.04"
"1/29/2026","1/29/2026","1/30/2026","SPXW","SPXW 1/29/2026 Call $6,950.00","BTO","1","$2.50","($250.98)"
"1/29/2026","1/29/2026","1/30/2026","SPXW","SPXW 1/29/2026 Call $6,950.00","BTO","1","$2.50","($250.98)"
"1/27/2026","1/27/2026","1/28/2026","SPY","SPY 1/27/2026 Put $695.00","STC","20","$0.05","$99.13"
"1/27/2026","1/27/2026","1/28/2026","SPY","SPY 1/27/2026 Put $695.00","BTO","10","$0.08","($80.40)"
"1/27/2026","1/27/2026","1/28/2026","SPY","SPY 1/27/2026 Call $695.00","STC","1","$1.11","$110.95"
"1/27/2026","1/27/2026","1/28/2026","SPY","SPY 1/27/2026 Call $695.00","STC","2","$1.11","$221.91"
"1/27/2026","1/27/2026","1/28/2026","SPY","SPY 1/27/2026 Call $695.00","BTO","3","$1.11","($333.12)"
"1/27/2026","1/27/2026","1/28/2026","SPY","SPY 1/27/2026 Put $695.00","BTO","2","$0.17","($34.08)"
"1/27/2026","1/27/2026","1/28/2026","OPTT","OPTT 2/20/2026 Call $1.50","BTO","10","$0.03","($30.40)"
"1/27/2026","1/27/2026","1/28/2026","SPY","SPY 1/27/2026 Put $695.00","BTO","3","$0.14","($42.12)"
"1/27/2026","1/27/2026","1/28/2026","SPY","SPY 1/27/2026 Call $696.00","STC","1","$0.33","$32.95"
"1/27/2026","1/27/2026","1/28/2026","SPY","SPY 1/27/2026 Put $695.00","BTO","5","$0.20","($100.20)"
"1/27/2026","1/27/2026","1/28/2026","SPY","SPY 1/27/2026 Put $695.00","STC","10","$0.19","$189.57"
"1/27/2026","1/27/2026","1/28/2026","SPY","SPY 1/27/2026 Put $695.00","BTO","10","$0.19","($190.40)"
"1/27/2026","1/27/2026","1/28/2026","SPY","SPY 1/27/2026 Call $696.00","STC","2","$0.52","$103.91"
"1/27/2026","1/27/2026","1/28/2026","SPY","SPY 1/27/2026 Call $696.00","STC","3","$0.42","$125.87"
"1/27/2026","1/27/2026","1/28/2026","SPY","SPY 1/27/2026 Put $695.00","STC","2","$0.64","$127.91"
"1/27/2026","1/27/2026","1/28/2026","SPY","SPY 1/27/2026 Put $695.00","STC","3","$0.55","$164.87"
"1/27/2026","1/27/2026","1/28/2026","SPY","SPY 1/27/2026 Put $695.00","STC","5","$0.53","$264.78"
"1/27/2026","1/27/2026","1/28/2026","SPY","SPY 1/27/2026 Put $695.00","BTO","10","$0.46","($460.40)"
"1/27/2026","1/27/2026","1/28/2026","SPY","SPY 1/27/2026 Call $696.00","BTO","2","$0.43","($86.08)"
"1/27/2026","1/27/2026","1/28/2026","SPY","SPY 1/27/2026 Put $695.00","STC","4","$0.35","$139.83"
"1/27/2026","1/27/2026","1/28/2026","SPY","SPY 1/27/2026 Put $695.00","STC","5","$0.35","$174.78"
"1/27/2026","1/27/2026","1/28/2026","SPY","SPY 1/27/2026 Put $695.00","STC","1","$0.35","$34.95"
"1/27/2026","1/27/2026","1/28/2026","SPY","SPY 1/27/2026 Put $695.00","BTO","9","$0.36","($324.36)"
"1/27/2026","1/27/2026","1/28/2026","SPY","SPY 1/27/2026 Put $695.00","BTO","1","$0.36","($36.04)"
"1/27/2026","1/27/2026","1/28/2026","SPY","SPY 1/27/2026 Call $696.00","BTO","4","$0.58","($232.16)"
"1/27/2026","1/27/2026","1/28/2026","SPY","SPY 1/27/2026 Put $695.00","STC","1","$0.31","$30.95"
"1/27/2026","1/27/2026","1/28/2026","SPY","SPY 1/27/2026 Put $695.00","STC","3","$0.39","$116.87"
"1/27/2026","1/27/2026","1/28/2026","SPY","SPY 1/27/2026 Put $695.00","STC","4","$0.48","$191.83"
"1/27/2026","1/27/2026","1/28/2026","SPY","SPY 1/27/2026 Put $695.00","BTO","4","$0.28","($112.16)"
"1/27/2026","1/27/2026","1/28/2026","SPY","SPY 1/27/2026 Put $695.00","BTO","2","$0.36","($72.08)"
"1/27/2026","1/27/2026","1/28/2026","SPY","SPY 1/27/2026 Put $695.00","BTO","2","$0.99","($198.08)"
"1/27/2026","1/27/2026","1/28/2026","SPY","SPY 1/27/2026 Call $695.00","STC","1","$1.11","$110.95"
"1/27/2026","1/27/2026","1/28/2026","SPY","SPY 1/27/2026 Call $695.00","STC","1","$1.15","$114.95"
"1/27/2026","1/27/2026","1/28/2026","SPY","SPY 1/27/2026 Call $695.00","STC","1","$0.89","$88.95"
"1/27/2026","1/27/2026","1/28/2026","SPY","SPY 1/27/2026 Call $695.00","BTO","3","$0.65","($195.12)"
"1/26/2026","1/26/2026","1/27/2026","SPY","SPY 1/26/2026 Call $694.00","STC","5","$0.07","$34.78"
"1/26/2026","1/26/2026","1/27/2026","SPY","SPY 1/26/2026 Call $694.00","BTO","5","$0.21","($105.20)"
"1/26/2026","1/26/2026","1/27/2026","SPY","SPY 1/26/2026 Put $694.00","STC","5","$0.62","$309.78"
"1/26/2026","1/26/2026","1/27/2026","SPY","SPY 1/26/2026 Put $694.00","BTO","5","$0.63","($315.20)"
"1/26/2026","1/26/2026","1/27/2026","SPY","SPY 1/26/2026 Put $693.00","STC","10","$0.13","$129.57"
"1/26/2026","1/26/2026","1/27/2026","SPY","SPY 1/26/2026 Put $693.00","BTO","5","$0.16","($80.20)"
"1/26/2026","1/26/2026","1/27/2026","SPY","SPY 1/26/2026 Put $693.00","BTO","5","$0.16","($80.20)"
"1/26/2026","1/26/2026","1/27/2026","SPY","SPY 1/26/2026 Put $693.00","STC","5","$0.13","$64.78"
"1/26/2026","1/26/2026","1/27/2026","SPY","SPY 1/26/2026 Put $693.00","BTO","3","$0.16","($48.12)"
"1/26/2026","1/26/2026","1/27/2026","SPY","SPY 1/26/2026 Put $693.00","STC","1","$0.13","$12.95"
"1/26/2026","1/26/2026","1/27/2026","SPY","SPY 1/26/2026 Put $693.00","STC","2","$0.13","$25.91"
"1/26/2026","1/26/2026","1/27/2026","SPY","SPY 1/26/2026 Call $694.00","STC","3","$0.32","$95.87"
"1/26/2026","1/26/2026","1/27/2026","SPY","SPY 1/26/2026 Call $694.00","BTO","3","$0.26","($78.12)"
"1/26/2026","1/26/2026","1/27/2026","SPY","SPY 1/26/2026 Put $693.00","BTO","5","$0.16","($80.20)"
